1,"Ashot Nalbandyan,2019-01-04 17:33:00,b'RT @dr_vitus_zato: How to Growth Stack Your Product =&gt; https://t.co/RMUFZKoNN0 #javascript #vuejs #code #php #angular #reactjs #redux #css\xe2\x80\xa6'"
0,"InfoSec Industry,2019-01-04 17:32:32,b'Kubernetes Security Issues (CVE-2018-18264 and kubectl proxy) https://t.co/Uxj1Q84f1N #AWS #infosec'"
1,"Jamed,2019-01-04 17:30:42,b'RT @NearShore_Tech: #Python opportunity in #Puebla and #Merida - #Django #AWS #Docker #Flask  Send your resume \xe2\x86\x92 careers@nearshoretechnolog\xe2\x80\xa6'"
0,"Lily's Social Media and Online Training,2019-01-04 17:30:36,b'JANUARY is for #AWS #CERTIFICATION\nFEATURED COURSES\n\nAWS Certified Developer Associate 2019\nPass the AWS Certified\xe2\x80\xa6 https://t.co/hAS1EbxeqA'"
1,"Coupon Free,2019-01-04 17:30:30,b'Udemy Free Discount - Selenium WebDriver w/ C# - Build Your Framework - #udemycoupon (https://t.co/IDiG6H4yWL)\xe2\x80\xa6 https://t.co/C5DQBTT5in'"
1,"NearShoreTechnology,2019-01-04 17:30:24,b'RT @NearShore_Tech: #Python opportunity in #Puebla and #Merida - #Django #AWS #Docker #Flask  Send your resume \xe2\x86\x92 careers@nearshoretechnolog\xe2\x80\xa6'"
0,"IoT Global Network,2019-01-04 17:30:05,b'Why deploying operational tech data to an OT/IT #cloud matters https://t.co/r3HmYtHa9F @MoxaInc\n #IIoT\xe2\x80\xa6 https://t.co/ihSrlZL8ON'"
1,"Proejctnow,2019-01-04 17:28:23,b'RT @CloudExpo: CloudEXPO Silicon Valley Show Prospectus Published \n\nhttps://t.co/dKZ057OotE\n\n@Geek_King @TotalUptime #Cloud #IoT #IIoT #CIO\xe2\x80\xa6'"
1,"Danilo Poccia 🎄,2019-01-04 17:27:19,b'FogLogic on Three Next Practices for Optimizing SAP Service Levels Leveraging AIOps https://t.co/d88Dft2CZU #AWS #Startups #CloudComputing'"
1,"Avrohom Gottheil,2019-01-04 17:26:20,""b""""RT @alcgroup: Meet ALC's #Cloud #TOGAF #DevOps trainer Paul @MusicComposer1 https://t.co/nPhL48eT1x  #DigitalDistruption #AWS #Office365 #C\xe2\x80\xa6"""""""
1,"Machine Learning EXPO,2019-01-04 17:26:12,b'RT @IoTJournal: CloudEXPO Silicon Valley Show Prospectus Published \n\nhttps://t.co/yDM2gAIIBQ\n\n#Cloud #IoT #IIoT #CIO #DevOps #APM #AWS #Clo\xe2\x80\xa6'"
0,"Machine Learning EXPO,2019-01-04 17:26:02,b'RT @ThingsExpo: CloudEXPO Silicon Valley Show Prospectus Published \n\nhttps://t.co/3QuZy0MwMl\n\n@Geek_King @TotalUptime #Cloud #IoT #IIoT #CI\xe2\x80\xa6'"
0,"Tackle,2019-01-04 17:25:27,""b'""""Tackle\xe2\x80\x99s Downstream platform overcame [our operational business issues] by providing a single dashboard for report\xe2\x80\xa6 https://t.co/oFAF3ekDmH'"""
